text,label
"This movie was absolutely wonderful, loved every minute of it.",positive
"Terrible acting and a boring plot. Waste of time.",negative
"One of the best films I have seen this year, highly recommended.",positive
"I could not even finish it. Painfully dull.",negative
"Great story, amazing performances and beautiful cinematography.",positive
"Complete garbage. The characters were flat and the dialogue awful.",negative
"A masterpiece of storytelling with an emotional and powerful ending.",positive
"Disappointing sequel that ruins the original. Do not watch.",negative
"Brilliant direction and a gripping screenplay from start to finish.",positive
"An utter mess. Confusing, slow and utterly forgettable.",negative
